method,accuracy,time_cost
naive_bayes,0.2872876022655758,6.144531965255737
random_forest,0.3920704845814978,9.087457180023193
logistic_regression,0.3656387665198238,19.94230365753174
decision_tree,0.3854625550660793,12.382390260696411
neural_network,0.33417242765426636,14.617640733718872
support_vector_machine(rbf),0.17054751415984895,29.64751410484314
support_vector_machine(sigmoid),0.22152297042164884,29.90223217010498
